BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
SMAL,2022-11-08,Сбербанк,SBER,85,31860.75,129.09,129.09,132.98,,131.3,132.92,245,,,,0.0,0.0,0.0,0,3,SUR,0.7
TQBR,2022-11-08,Сбербанк,SBER,143560,9132676225.5,132.0,130.1,133.11,131.17,131.3,131.29,69556040,131.31,131.31,131.17,8245166160.3,8245166160.3,8245166160.3,0,3,SUR,-0.54
SMAL,2022-11-09,Сбербанк,SBER,62,19530.62,131.0,128.01,131.91,,129.19,128.28,152,,,,0.0,0.0,0.0,0,3,SUR,-3.49
TQBR,2022-11-09,Сбербанк,SBER,127792,8392114411.7,131.06,126.42,131.47,128.29,129.19,127.3,64961510,129.74,129.74,128.29,6289207487.2,6289207487.2,6289207487.2,0,3,SUR,-3.04
SMAL,2022-11-10,Сбербанк,SBER,95,36937.74,129.0,129.0,136.41,,133.86,132.31,276,,,,0.0,0.0,0.0,0,3,SUR,3.14
TQBR,2022-11-10,Сбербанк,SBER,284549,22986670666.3,131.0,129.77,136.69,135.87,133.86,136.68,171748310,133.68,133.68,135.87,21438639450.5,21438639450.5,21438639450.5,0,3,SUR,7.37
SMAL,2022-11-11,Сбербанк,SBER,119,47897.84,137.98,135.0,137.98,,136.62,137.9,354,,,,0.0,0.0,0.0,0,3,SUR,4.22
TQBR,2022-11-11,Сбербанк,SBER,167566,10343394282.0,137.9,135.13,138.42,136.74,136.62,136.98,75710240,136.59,136.59,136.74,9286173308.7,9286173308.7,9286173308.7,0,3,SUR,0.22
SMAL,2022-11-14,Сбербанк,SBER,114,44059.27,137.5,136.79,140.6,,138.85,139.0,317,,,,0.0,0.0,0.0,0,3,SUR,0.8
TQBR,2022-11-14,Сбербанк,SBER,154294,11457421132.4,137.5,135.83,140.7,139.82,138.85,139.8,82521030,138.73,138.73,139.82,10408226226.3,10408226226.3,10408226226.3,0,3,SUR,2.06
SMAL,2022-11-15,Сбербанк,SBER,42,15992.87,139.5,135.78,141.28,,136.78,135.9,115,,,,0.0,0.0,0.0,0,3,SUR,-2.23
TQBR,2022-11-15,Сбербанк,SBER,230804,19905669470.0,140.49,130.86,141.0,137.9,136.78,135.66,145543250,138.74,138.74,137.9,10203880775.8,10203880775.8,10203880775.8,0,3,SUR,-2.96
SMAL,2022-11-16,Сбербанк,SBER,149,60289.73,137.5,134.51,139.78,,138.26,137.03,440,,,,0.0,0.0,0.0,0,3,SUR,0.83
TQBR,2022-11-16,Сбербанк,SBER,125773,9275650502.9,136.99,136.32,139.73,139.0,138.26,139.18,67090170,138.2,138.2,139.0,8569311728.1,8569311728.1,8569311728.1,0,3,SUR,2.59
SMAL,2022-11-17,Сбербанк,SBER,86,28874.78,139.7,136.0,140.92,,138.32,137.79,211,,,,0.0,0.0,0.0,0,3,SUR,0.55
TQBR,2022-11-17,Сбербанк,SBER,109573,8183196558.2,139.09,136.6,140.35,137.6,138.32,137.57,59160240,138.38,138.38,137.6,7549300911.8,7549300911.8,7549300911.8,0,3,SUR,-1.16
SMAL,2022-11-18,Сбербанк,SBER,45,15205.79,137.98,135.02,155.0,,136.47,140.0,106,,,,0.0,0.0,0.0,0,3,SUR,1.6
TQBR,2022-11-18,Сбербанк,SBER,84057,6017150012.2,137.08,135.84,137.81,136.01,136.47,136.89,44076540,136.54,136.54,136.01,5336128209.0,5336128209.0,5336128209.0,0,3,SUR,-0.49
SMAL,2022-11-21,Сбербанк,SBER,130,44801.53,138.0,132.0,138.74,,133.98,134.0,337,,,,0.0,0.0,0.0,0,3,SUR,-4.29
TQBR,2022-11-21,Сбербанк,SBER,174869,11204179692.7,136.01,132.51,136.3,133.38,133.98,134.46,83599930,134.06,134.06,133.38,9244092171.1,9244092171.1,9244092171.1,0,3,SUR,-1.78
SMAL,2022-11-22,Сбербанк,SBER,23,6484.35,135.22,133.82,135.98,,134.99,133.82,48,,,,0.0,0.0,0.0,0,3,SUR,-0.13
TQBR,2022-11-22,Сбербанк,SBER,85039,6185848298.4,134.55,133.81,136.0,135.75,134.99,135.65,45822990,134.9,134.9,135.75,5413261332.4,5413261332.4,5413261332.4,0,3,SUR,0.89
SMAL,2022-11-23,Сбербанк,SBER,73,29395.41,134.87,134.87,136.78,,136.35,135.53,217,,,,0.0,0.0,0.0,0,3,SUR,1.28
TQBR,2022-11-23,Сбербанк,SBER,103415,7131237802.3,135.7,134.5,137.55,136.87,136.35,136.59,52302020,136.32,136.32,136.87,6648870078.8,6648870078.8,6648870078.8,0,3,SUR,0.69
SMAL,2022-11-24,Сбербанк,SBER,45,17140.02,135.08,133.79,138.0,,137.44,136.0,126,,,,0.0,0.0,0.0,0,3,SUR,0.35
TQBR,2022-11-24,Сбербанк,SBER,83293,5825797012.7,137.0,136.12,138.41,136.82,137.44,136.61,42388720,137.52,137.52,136.82,5251826851.6,5251826851.6,5251826851.6,0,3,SUR,0.01
SMAL,2022-11-25,Сбербанк,SBER,42,15154.96,136.0,134.81,137.39,,136.14,137.38,112,,,,0.0,0.0,0.0,0,3,SUR,1.01
TQBR,2022-11-25,Сбербанк,SBER,62975,4032240523.4,137.2,135.41,137.24,136.33,136.14,136.53,29618830,136.12,136.12,136.33,3640518414.8,3640518414.8,3640518414.8,0,3,SUR,-0.06
SMAL,2022-11-28,Сбербанк,SBER,8,3104.66,134.03,134.03,136.5,,135.17,134.8,23,,,,0.0,0.0,0.0,0,3,SUR,-1.88
TQBR,2022-11-28,Сбербанк,SBER,98844,6119857086.1,135.02,134.1,136.2,135.77,135.17,135.53,45275110,135.13,135.13,135.77,5578827730.5,5578827730.5,5578827730.5,0,3,SUR,-0.73
SMAL,2022-11-29,Сбербанк,SBER,67,23373.78,137.6,134.43,138.75,,136.58,135.5,173,,,,0.0,0.0,0.0,0,3,SUR,0.52
