,BOARDID,TRADEDATE,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,WAPRICE,CLOSE,VOLUME,ADMITTEDQUOTE,ADMITTEDVALUE,TRENDCLSPR
956,TQBR,2022-11-29,SBER,69284,4322432923.7,136.29,135.88,137.2,136.58,136.37,31648090,136.85,3808849406.0,0.62
958,TQBR,2022-11-30,SBER,63115,3645274279.8,136.5,135.23,136.78,135.91,136.78,26816190,135.51,2679915826.3,0.3
960,TQBR,2022-12-01,SBER,69939,4528220086.5,137.1,136.31,137.95,136.98,137.15,33056500,136.47,3890903850.3,0.27
962,TQBR,2022-12-02,SBER,42822,2631801491.3,136.99,136.17,137.1,136.63,136.66,19261670,136.5,2287543522.5,-0.36
964,TQBR,2022-12-05,SBER,194980,14626342206.0,136.66,136.25,142.68,140.73,142.0,103930500,142.05,13038358597.2,3.91
966,TQBR,2022-12-06,SBER,93696,7320200569.4,142.2,139.11,143.37,141.24,140.61,51823300,141.6,5622643909.4,-0.98
968,TQBR,2022-12-07,SBER,114937,9820959841.6,140.5,138.36,142.81,140.53,142.32,69885670,142.24,8932686070.8,1.22
970,TQBR,2022-12-08,SBER,121144,9051030863.8,143.5,139.8,143.6,141.29,139.92,64056510,140.38,8181155939.9,-1.69
972,TQBR,2022-12-09,SBER,63362,4121787838.9,139.7,139.24,140.7,140.0,140.03,29441490,140.2,3633050731.1,0.08
974,TQBR,2022-12-12,SBER,71986,4674567348.3,140.19,138.7,140.87,139.63,139.48,33477470,139.32,4393885284.6,-0.39
976,TQBR,2022-12-13,SBER,101413,7204347001.0,139.67,136.67,139.93,138.01,138.13,52200510,138.38,6757318323.7,-0.97
978,TQBR,2022-12-14,SBER,67864,4682726701.5,138.28,136.6,138.28,137.43,137.3,34074890,137.6,4031577328.7,-0.6
980,TQBR,2022-12-15,SBER,105030,7425601043.9,136.99,134.3,137.08,135.52,134.55,54791650,135.49,6823898465.8,-2.0
983,TQBR,2022-12-16,SBER,65134,4438893679.0,134.5,134.13,136.09,135.32,135.45,32802120,135.73,4067258327.3,0.67
985,TQBR,2022-12-19,SBER,114359,7922461200.5,135.13,132.86,136.73,134.67,134.64,58826130,135.57,7159126301.7,-0.6
987,TQBR,2022-12-20,SBER,88250,6164921383.7,134.51,134.41,138.4,136.95,138.28,45017120,137.45,5258962348.5,2.7
989,TQBR,2022-12-21,SBER,91276,6272681336.7,138.7,135.81,139.12,137.74,137.75,45542340,137.29,5753624010.8,-0.38
991,TQBR,2022-12-22,SBER,69031,4219452712.4,137.99,137.0,138.97,138.07,137.69,30562140,137.86,3826989490.8,-0.04
993,TQBR,2022-12-23,SBER,53883,3151110861.8,137.49,136.81,138.26,137.56,137.94,22908110,137.89,2831913638.4,0.18
995,TQBR,2022-12-26,SBER,103692,6912819148.3,138.33,138.0,141.0,139.99,140.95,49379370,140.68,6386972346.2,2.18
997,TQBR,2022-12-27,SBER,94202,5856965521.6,141.31,139.6,142.0,140.83,139.9,41654530,140.3,5094482669.1,-0.74
999,TQBR,2022-12-28,SBER,68495,3911970512.0,139.73,138.6,140.4,139.46,139.51,28045010,139.55,3500065485.0,-0.28
1001,TQBR,2022-12-29,SBER,71440,4513089042.4,139.5,139.22,141.65,140.77,140.96,32059860,140.44,4245820028.2,1.04
1003,TQBR,2022-12-30,SBER,64331,3968971100.4,140.8,140.13,141.48,140.87,141.15,28175080,141.21,3321268244.7,0.13
1005,TQBR,2023-01-03,SBER,55187,3000247965.4,141.6,141.56,143.25,142.2,141.78,21098550,141.65,2664723965.7,0.45
1007,TQBR,2023-01-04,SBER,50172,2419428972.3,141.85,140.75,142.28,141.38,141.43,17112740,141.3,2119860552.9,-0.25
1009,TQBR,2023-01-05,SBER,45764,2435171391.9,141.6,140.54,141.84,141.21,141.27,17245300,141.31,2112355476.8,-0.11
1011,TQBR,2023-01-06,SBER,34184,1504730792.2,141.39,140.9,141.62,141.19,141.4,10657600,141.14,1265432105.4,0.09
1013,TQBR,2023-01-09,SBER,75295,4480148303.4,141.83,141.65,142.99,142.46,142.4,31449160,142.43,4151011706.3,0.71
1015,TQBR,2023-01-10,SBER,57403,3368938055.0,142.1,141.31,142.85,142.05,142.81,23718180,142.39,2785257783.7,0.29
1017,TQBR,2023-01-11,SBER,208795,18097145617.6,142.97,142.87,149.98,146.97,149.96,123147040,148.66,16385503186.3,5.01
1019,TQBR,2023-01-12,SBER,105583,6982668294.2,150.02,148.39,150.79,149.23,149.3,46789300,148.97,6561968861.0,-0.44
1021,TQBR,2023-01-13,SBER,152707,13374657598.8,149.58,147.71,153.28,151.11,151.69,88520210,151.77,12570767592.3,1.6
1023,TQBR,2023-01-16,SBER,107229,7920014161.8,152.89,151.88,154.0,153.03,153.71,51753920,,,1.33
1025,TQBR,2023-01-17,SBER,157024,12790444010.5,154.0,150.01,154.31,151.54,150.45,84404770,,,-2.12
1027,TQBR,2023-01-18,SBER,131481,10235015056.8,150.4,149.41,153.0,151.68,151.47,67511970,,,0.68
1029,TQBR,2023-01-19,SBER,122069,10027708961.8,151.2,148.56,152.85,150.1,149.34,66813960,,,-1.41
1031,TQBR,2023-01-20,SBER,86811,6633881321.1,149.7,148.64,151.4,149.91,151.38,44254820,,,1.37
