TRADEDATE,BOARDID,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,WAPRICE,CLOSE,VOLUME,TRENDCLSPR
2023-06-28,TQBR,SBER,71233,6793968901.0,241.8,238.6,241.8,240.0,239.67,28310570,-0.64
2023-06-29,TQBR,SBER,71401,6771141228.4,239.94,239.02,241.26,240.18,239.99,28192150,0.13
2023-06-30,TQBR,SBER,61109,5759887900.0,240.0,238.36,240.68,239.52,239.61,24051460,-0.16
2023-07-03,TQBR,SBER,109738,11469844958.6,240.0,239.15,244.56,242.35,243.33,47333310,1.55
2023-07-04,TQBR,SBER,86281,10055387487.4,243.4,240.61,243.78,241.95,240.7,41561500,-1.08
2023-07-05,TQBR,SBER,58229,4814047501.4,241.49,240.24,241.9,241.03,240.95,19972080,0.1
2023-07-06,TQBR,SBER,63055,5618736214.0,241.47,240.71,242.47,241.56,240.96,23260340,0.0
2023-07-07,TQBR,SBER,85534,7332444797.9,241.49,240.7,243.75,242.19,243.67,30275210,1.12
2023-07-10,TQBR,SBER,138935,16071729444.1,244.21,244.2,249.45,246.94,249.4,65076680,2.35
2023-07-11,TQBR,SBER,109742,12299322430.2,250.01,246.51,250.2,248.01,247.99,49590820,-0.57
2023-07-12,TQBR,SBER,83860,9753032391.9,248.4,246.1,249.2,248.06,247.52,39316540,-0.19
2023-07-13,TQBR,SBER,79508,7288359089.4,247.97,245.34,248.15,246.54,246.19,29561460,-0.54
2023-07-14,TQBR,SBER,73911,6311038243.1,246.32,244.51,247.05,245.93,246.45,25661560,0.11
2023-07-17,TQBR,SBER,125597,8878816493.1,244.77,243.6,246.2,245.32,245.39,36193390,-0.43
2023-07-18,TQBR,SBER,93342,8881118332.9,245.8,245.26,247.5,246.64,246.77,36008340,0.56
2023-07-19,TQBR,SBER,84206,7752930513.8,247.25,245.0,248.1,246.49,245.85,31451760,-0.37
2023-07-20,TQBR,SBER,114178,8801178563.7,246.27,242.15,246.27,244.3,242.7,36027010,-1.28
2023-07-21,TQBR,SBER,109319,7857419374.2,243.18,241.7,244.53,243.48,244.13,32271770,0.59
2023-07-24,TQBR,SBER,67159,4841185545.1,244.0,243.52,245.85,244.88,244.87,19769440,0.3
2023-07-25,TQBR,SBER,106037,9802524256.7,245.48,244.81,247.77,246.71,247.2,39733390,0.95
2023-07-26,TQBR,SBER,74271,6452766655.3,247.2,245.9,248.33,247.05,247.05,26119270,-0.06
2023-07-27,TQBR,SBER,101215,9888953807.4,247.5,247.24,249.3,248.51,247.95,39793470,0.36
2023-07-28,TQBR,SBER,105013,8882595853.3,248.0,246.67,249.45,248.28,249.25,35776620,0.52
2023-07-31,TQBR,SBER,323903,43588329451.2,251.33,251.33,267.77,259.57,267.4,167914420,7.28
2023-08-01,TQBR,SBER,308757,43867907028.7,269.0,264.1,273.35,269.16,268.5,162988910,0.41
2023-08-02,TQBR,SBER,123898,12994793534.9,268.5,266.52,269.97,268.39,268.57,48418320,0.03
2023-08-03,TQBR,SBER,184020,20410042951.8,269.0,266.8,271.35,269.4,269.11,75757120,0.2
2023-08-04,TQBR,SBER,262485,35356837729.0,269.48,261.21,272.96,267.43,264.12,132212230,-1.85
2023-08-07,TQBR,SBER,154420,16298932253.3,266.54,260.5,268.09,264.89,261.92,61531090,-0.83
2023-08-08,TQBR,SBER,141414,17041697177.0,261.92,258.8,265.44,261.68,264.62,65114820,1.03
2023-08-09,TQBR,SBER,91124,9249536249.7,265.47,263.05,265.8,264.35,263.91,34994150,-0.27
2023-08-10,TQBR,SBER,101300,9917152046.2,264.73,263.96,267.5,265.94,266.91,37292060,1.14
2023-08-11,TQBR,SBER,83802,6609842078.6,267.26,264.8,267.4,266.03,266.23,24846460,-0.25
2023-08-14,TQBR,SBER,187870,22902790188.0,267.37,259.15,268.77,264.1,260.45,86724810,-2.17
2023-08-15,TQBR,SBER,149361,15503423730.3,259.0,256.63,264.17,261.75,260.42,59232630,-0.01
2023-08-16,TQBR,SBER,174430,18480740234.3,261.29,254.33,261.68,257.32,256.02,71823620,-1.69
2023-08-17,TQBR,SBER,90999,9242381700.9,257.15,255.5,258.8,257.17,258.5,35937920,0.97
2023-08-18,TQBR,SBER,92565,8050824110.9,258.4,257.35,261.37,259.14,261.14,31064600,1.02
2023-08-21,TQBR,SBER,93965,9346055970.9,262.44,259.51,263.06,261.33,261.15,35766040,0.0
2023-08-22,TQBR,SBER,78196,6769122940.9,261.92,259.81,262.11,260.82,261.45,25953320,0.11
2023-08-23,TQBR,SBER,138876,13720905467.1,261.5,256.0,261.83,258.34,256.4,53116160,-1.93
2023-08-24,TQBR,SBER,69412,6959479100.0,257.63,256.4,259.94,257.95,259.63,26979270,1.26
2023-08-25,TQBR,SBER,80102,7426717866.2,258.8,257.61,261.6,259.87,260.5,28575150,0.34
2023-08-28,TQBR,SBER,147557,15334069568.9,261.32,260.81,267.83,264.85,266.93,57897070,2.47
2023-08-29,TQBR,SBER,97747,9425505447.3,266.7,265.14,267.56,266.2,265.68,35407330,-0.47
2023-08-30,TQBR,SBER,102279,10237031481.4,265.68,263.1,267.36,265.17,264.7,38604380,-0.37
2023-08-31,TQBR,SBER,80782,5993343768.2,265.04,264.3,266.25,265.38,264.85,22582290,0.06
2023-09-01,TQBR,SBER,55851,5100561546.5,265.4,264.06,265.62,264.76,265.0,19265170,0.06
2023-09-04,TQBR,SBER,110101,12877036020.6,266.5,266.0,269.11,267.48,267.39,48140770,0.9
2023-09-05,TQBR,SBER,102654,10571300705.4,266.74,261.09,267.98,265.55,264.75,39811860,-0.99
2023-09-06,TQBR,SBER,83975,7464966620.5,264.33,262.31,264.68,263.39,263.5,28341890,-0.47
2023-09-07,TQBR,SBER,165037,17586948788.7,263.69,256.1,264.97,259.79,258.79,67688600,-1.79
2023-09-08,TQBR,SBER,119240,12703139529.3,258.08,253.1,259.33,256.3,255.68,49562810,-1.2
2023-09-11,TQBR,SBER,109498,11118810652.0,257.0,255.16,258.37,256.9,256.25,43282460,0.22
2023-09-12,TQBR,SBER,109806,11734500325.7,257.7,257.09,262.4,259.78,262.4,45160820,2.4
2023-09-13,TQBR,SBER,84438,7819067326.6,262.4,257.59,262.77,260.22,258.18,30051360,-1.61
2023-09-14,TQBR,SBER,111222,11926823552.1,258.9,255.02,261.38,257.94,260.0,46227900,0.7
2023-09-15,TQBR,SBER,86323,9278013469.0,259.65,258.56,262.74,260.76,260.83,35581630,0.32
2023-09-18,TQBR,SBER,83338,7570774955.6,262.02,258.76,263.0,260.74,259.07,29037560,-0.67
2023-09-19,TQBR,SBER,196908,22788038781.3,258.99,251.5,259.32,254.47,252.72,89551540,-2.45
2023-09-20,TQBR,SBER,142652,16916624771.2,252.8,249.82,255.47,253.13,253.77,66831270,0.42
2023-09-21,TQBR,SBER,182699,14795034218.3,252.87,249.81,254.2,251.14,250.16,58913730,-1.42
2023-09-22,TQBR,SBER,90663,10243374236.0,249.85,248.62,253.1,251.58,251.99,40714900,0.73
2023-09-25,TQBR,SBER,102799,8008924561.2,252.0,249.83,253.49,251.31,252.65,31863690,0.26
2023-09-26,TQBR,SBER,97142,10912472469.6,252.13,250.9,257.17,253.97,255.87,42960400,1.27
2023-09-27,TQBR,SBER,75046,7148789525.8,256.2,254.63,257.85,256.41,256.1,27880630,0.09
2023-09-28,TQBR,SBER,71899,6771650933.6,256.4,255.5,258.25,257.17,257.67,26331160,0.61
2023-09-29,TQBR,SBER,138615,17870619137.4,258.0,256.71,262.59,260.75,260.72,68533310,1.18
2023-10-02,TQBR,SBER,97569,9234131821.3,261.37,257.03,261.92,259.57,258.98,35574470,-0.67
2023-10-03,TQBR,SBER,100698,6193849314.7,258.99,257.23,260.5,259.03,259.65,23911430,0.26
2023-10-04,TQBR,SBER,56512,4816207232.0,259.0,258.24,260.39,259.33,259.53,18571620,-0.05
2023-10-05,TQBR,SBER,76868,6111704653.5,260.7,258.26,261.39,260.05,259.38,23501620,-0.06
2023-10-06,TQBR,SBER,83397,8338546572.1,259.77,257.86,263.4,260.51,262.93,32001280,1.37
2023-10-09,TQBR,SBER,120406,12036758886.8,263.0,263.0,265.97,264.86,265.25,45447720,0.88
2023-10-10,TQBR,SBER,101633,8962447421.9,264.89,257.0,265.18,263.6,263.0,34001290,-0.85
2023-10-11,TQBR,SBER,94991,7743000723.4,263.3,259.5,263.99,262.53,260.21,29495790,-1.06
2023-10-12,TQBR,SBER,101666,7233267191.0,260.0,259.66,264.5,262.52,264.5,27549160,1.65
2023-10-13,TQBR,SBER,62631,4851837828.5,264.89,262.7,265.04,263.57,263.51,18408670,-0.37
2023-10-16,TQBR,SBER,146152,14344201420.1,264.0,263.51,269.2,267.0,268.15,53723180,1.76
2023-10-17,TQBR,SBER,151043,13825850433.3,268.3,266.91,271.97,269.96,270.0,51214360,0.69
2023-10-18,TQBR,SBER,99896,10845314693.3,270.0,266.11,271.19,268.59,267.9,40380530,-0.78
2023-10-19,TQBR,SBER,103110,9007682323.1,267.13,266.28,271.0,268.61,268.65,33532880,0.28
2023-10-20,TQBR,SBER,83672,8836450519.3,268.5,266.5,270.3,268.77,269.8,32879730,0.43
2023-10-23,TQBR,SBER,164784,16984291674.3,270.45,269.65,274.1,272.04,270.1,62432160,0.11
2023-10-24,TQBR,SBER,71912,7588324230.3,270.0,268.62,272.06,270.74,271.27,28029860,0.43
2023-10-25,TQBR,SBER,108400,11415367308.1,271.5,270.53,274.96,272.85,273.73,41830970,0.91
2023-10-26,TQBR,SBER,130564,16225541281.4,274.11,269.12,276.0,272.74,269.9,59497750,-1.4
2023-10-27,TQBR,SBER,111468,13403054524.8,269.93,266.8,271.98,269.23,269.7,49779630,-0.07
2023-10-30,TQBR,SBER,85740,9008697112.8,269.9,268.6,271.55,270.16,269.89,33345990,0.07
