BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
TQBR,2023-09-13,Роснефть,ROSN,33983,1009189058.85,563.4,553.0,563.45,556.4,558.15,555.15,1808550,558.3,558.3,,914286395.95,914286395.95,,0,3,SUR,-1.22
TQBR,2023-09-14,Роснефть,ROSN,43201,1842276190.95,555.15,541.2,559.0,558.5,551.2,556.3,3342450,550.8,550.8,,1713457305.2,1713457305.2,,0,3,SUR,0.21
TQBR,2023-09-15,Роснефть,ROSN,52367,1805465925.25,556.55,551.7,563.0,562.0,558.15,562.8,3234739,557.65,557.65,,1613029780.05,1613029780.05,,0,3,SUR,1.17
TQBR,2023-09-18,Роснефть,ROSN,47385,1609645125.75,565.0,556.1,570.9,560.8,564.55,557.1,2851153,565.85,565.85,,1353238294.6,1353238294.6,,0,3,SUR,-1.01
TQBR,2023-09-19,Роснефть,ROSN,67892,2027324032.75,558.6,542.95,559.95,551.05,550.05,544.0,3686091,550.5,550.5,,1770318593.8,1770318593.8,,0,3,SUR,-2.35
TQBR,2023-09-20,Роснефть,ROSN,87263,5291148457.85,544.0,527.35,549.7,531.5,538.6,529.35,9824200,539.95,539.95,,4575970710.45,4575970710.45,,0,3,SUR,-2.69
TQBR,2023-09-21,Роснефть,ROSN,156970,7798863472.4,528.0,504.2,528.0,510.75,516.85,508.0,15090715,517.65,517.65,,6934045660.7,6934045660.7,,0,3,SUR,-4.03
SPEQ,2023-09-22,Роснефть,ROSN,112,270264392.0,511.09,511.09,511.09,,,511.09,528800,,,,0.0,0.0,,0,3,SUR,7.08
TQBR,2023-09-22,Роснефть,ROSN,225370,5913166159.45,510.0,497.75,515.8,510.0,509.9,513.9,11597068,509.65,509.65,,5514970129.95,5514970129.95,,0,3,SUR,1.16
TQBR,2023-09-25,Роснефть,ROSN,103545,3004433277.2,513.9,510.0,523.0,522.15,518.05,520.65,5799688,517.8,517.8,,2780024836.75,2780024836.75,,0,3,SUR,1.31
TQBR,2023-09-26,Роснефть,ROSN,55319,2154283394.95,518.95,508.15,519.9,517.4,514.4,517.85,4187848,514.1,514.1,,1991695388.1,1991695388.1,,0,3,SUR,-0.54
TQBR,2023-09-27,Роснефть,ROSN,71148,2639358280.45,520.3,519.4,531.25,526.55,527.4,529.95,5004800,527.2,527.2,,2394107813.45,2394107813.45,,0,3,SUR,2.34
TQBR,2023-09-28,Роснефть,ROSN,67885,2113440363.1,531.4,530.5,537.0,535.5,534.2,535.7,3956580,534.1,534.1,,1969383435.25,1969383435.25,,0,3,SUR,1.09
TQBR,2023-09-29,Роснефть,ROSN,61604,1708622247.9,536.0,532.3,539.4,537.5,536.1,537.0,3187176,535.95,535.95,,1507585467.3,1507585467.3,,0,3,SUR,0.24
TQBR,2023-10-02,Роснефть,ROSN,57915,2188356436.7,538.5,534.55,544.35,535.4,539.9,535.55,4053827,540.4,540.4,,1948572808.95,1948572808.95,,0,3,SUR,-0.27
TQBR,2023-10-03,Роснефть,ROSN,95563,1705786876.65,534.65,526.9,540.65,538.0,532.55,538.9,3202852,531.6,531.6,,1478041886.35,1478041886.35,,0,3,SUR,0.63
TQBR,2023-10-04,Роснефть,ROSN,49399,1857746041.45,538.2,533.6,543.25,543.15,540.3,533.95,3438309,540.95,540.95,,1461621283.55,1461621283.55,,0,3,SUR,-0.92
TQBR,2023-10-05,Роснефть,ROSN,65640,1337052940.2,536.0,530.3,539.6,537.1,535.2,534.7,2498335,535.85,535.85,,977245229.35,977245229.35,,0,3,SUR,0.14
TQBR,2023-10-06,Роснефть,ROSN,65987,1576214021.3,534.5,530.0,537.65,533.5,532.3,534.2,2961059,532.1,532.1,,1361957152.35,1361957152.35,,0,3,SUR,-0.09
TQBR,2023-10-09,Роснефть,ROSN,101283,3814159626.8,541.1,538.6,553.2,552.65,547.35,552.5,6967992,546.85,546.85,,3334186117.95,3334186117.95,,0,3,SUR,3.43
TQBR,2023-10-10,Роснефть,ROSN,46038,1621388330.95,552.0,547.05,554.5,549.0,550.25,549.0,2946699,550.4,550.4,,1453266750.45,1453266750.45,,0,3,SUR,-0.63
