,BOARDID,TRADEDATE,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,WAPRICE,CLOSE,VOLUME,ADMITTEDQUOTE,ADMITTEDVALUE,TRENDCLSPR
779,TQBR,2023-05-19,ROSN,35808,984209524.1,414.25,410.15,415.95,413.4,413.65,2380757,,,-0.11
780,TQBR,2023-05-22,ROSN,49813,1774876466.1,417.0,414.2,428.35,420.45,424.5,4221302,,,2.62
781,TQBR,2023-05-23,ROSN,37474,1294807884.1,425.15,419.4,427.85,423.45,424.8,3057676,,,0.07
782,TQBR,2023-05-24,ROSN,68348,2351110846.25,425.1,422.9,440.0,430.95,436.0,5455339,,,2.64
783,TQBR,2023-05-25,ROSN,67762,2256806056.65,437.85,428.55,438.7,432.65,430.15,5216165,,,-1.34
784,TQBR,2023-05-26,ROSN,44101,1389582650.15,428.85,425.3,434.65,430.75,432.9,3227713,,,0.64
785,TQBR,2023-05-29,ROSN,49006,1888653481.0,435.85,435.0,441.7,438.8,440.45,4304091,,,1.74
786,TQBR,2023-05-30,ROSN,59418,2666332800.8,438.0,431.0,444.5,438.25,434.5,6084172,,,-1.35
787,TQBR,2023-05-31,ROSN,88417,4293409030.85,432.75,431.3,451.75,443.65,450.1,9676896,,,3.59
788,TQBR,2023-06-01,ROSN,58652,2562854484.95,452.0,448.0,458.85,454.5,451.5,5638696,,,0.31
789,TQBR,2023-06-02,ROSN,43555,1486975823.0,453.5,452.3,459.0,455.35,458.95,3265472,,,1.65
790,TQBR,2023-06-05,ROSN,80752,3345887834.5,466.5,454.5,472.45,465.2,458.6,7192545,,,-0.08
791,TQBR,2023-06-06,ROSN,50811,1806082242.05,457.35,449.25,464.9,454.85,462.1,3970344,,,0.76
792,TQBR,2023-06-07,ROSN,40828,1495074669.85,462.15,455.8,467.95,463.0,459.85,3229091,,,-0.49
793,TQBR,2023-06-08,ROSN,33416,807753717.9,460.0,456.0,463.8,459.9,458.15,1756416,,,-0.37
794,TQBR,2023-06-09,ROSN,32194,1277071840.3,459.0,456.75,464.25,460.8,463.5,2771319,,,1.17
795,TQBR,2023-06-13,ROSN,82613,2828425354.7,465.5,464.7,480.0,474.55,479.85,5960065,,,3.53
796,TQBR,2023-06-14,ROSN,54127,1833952355.8,482.0,475.2,482.85,478.7,478.4,3831121,,,-0.3
797,TQBR,2023-06-15,ROSN,53706,2010863846.65,479.2,475.5,482.0,478.85,481.75,4199476,,,0.7
799,TQBR,2023-06-16,ROSN,36067,1114844878.9,482.2,477.3,483.7,480.3,480.4,2320968,,,-0.28
800,TQBR,2023-06-19,ROSN,53167,1909208748.05,482.5,478.0,486.4,482.75,485.85,3952683,,,1.13
801,TQBR,2023-06-20,ROSN,55090,1835861975.65,487.0,475.65,489.65,483.75,483.4,3794972,,,-0.5
802,TQBR,2023-06-21,ROSN,40651,969080162.5,481.9,478.8,485.7,481.9,481.35,2010884,,,-0.42
803,TQBR,2023-06-22,ROSN,39867,1105743057.6,481.5,470.55,482.95,478.4,475.45,2311440,,,-1.23
804,TQBR,2023-06-23,ROSN,59039,2385147811.55,474.35,466.1,481.0,471.65,467.55,5057130,,,-1.66
805,TQBR,2023-06-26,ROSN,48932,1819813153.45,470.1,463.95,479.35,473.0,474.4,3847536,,,1.47
806,TQBR,2023-06-27,ROSN,34564,1498034868.35,476.15,470.45,480.0,476.8,475.85,3141927,,,0.31
807,TQBR,2023-06-28,ROSN,26439,872382055.5,476.15,474.15,478.95,476.45,477.05,1830959,,,0.25
808,TQBR,2023-06-29,ROSN,36121,1619959253.45,477.15,477.0,483.8,481.95,482.1,3361222,,,1.06
809,TQBR,2023-06-30,ROSN,27766,842499462.5,482.7,480.7,484.5,482.4,482.35,1746703,,,0.05
810,TQBR,2023-07-03,ROSN,41722,1237672789.55,483.6,476.55,484.5,481.4,478.05,2570970,,,-0.89
811,TQBR,2023-07-04,ROSN,36557,1346060532.1,478.1,467.6,479.15,475.0,473.4,2833902,,,-0.97
812,TQBR,2023-07-05,ROSN,31388,1211438054.3,474.25,472.25,478.5,475.25,473.9,2549027,,,0.11
813,TQBR,2023-07-06,ROSN,49032,1622735264.25,473.35,473.35,480.0,476.95,476.75,3402404,,,0.6
814,TQBR,2023-07-07,ROSN,45467,1938775134.6,475.55,474.5,482.95,479.75,482.4,4041779,,,1.19
815,TQBR,2023-07-10,ROSN,66049,2186484547.0,470.0,470.0,477.95,475.15,477.45,4601696,,,-1.03
816,TQBR,2023-07-11,ROSN,26557,694730517.4,477.5,475.75,479.45,477.4,478.8,1455224,,,0.28
817,TQBR,2023-07-12,ROSN,61854,2389475792.35,477.5,477.5,487.85,484.35,487.05,4933142,,,1.72
818,TQBR,2023-07-13,ROSN,68624,2195376607.45,489.25,482.3,495.8,488.7,488.4,4492073,,,0.28
819,TQBR,2023-07-14,ROSN,31162,926030121.0,487.25,484.3,489.95,487.65,487.65,1898938,,,-0.15
820,TQBR,2023-07-17,ROSN,46547,1442556870.65,485.95,484.0,491.8,488.5,489.3,2952898,,,0.34
821,TQBR,2023-07-18,ROSN,35089,1177434841.55,489.3,488.6,492.6,490.75,490.15,2398976,,,0.17
822,TQBR,2023-07-19,ROSN,39138,1253782285.8,490.95,482.55,492.05,487.25,485.95,2572971,,,-0.86
823,TQBR,2023-07-20,ROSN,51609,1396852077.6,485.95,475.0,487.0,481.4,475.1,2903286,,,-2.23
824,TQBR,2023-07-21,ROSN,35565,1359063915.0,475.5,475.35,483.95,480.45,483.2,2828016,,,1.7
825,TQBR,2023-07-24,ROSN,34340,799107857.4,483.2,480.0,484.5,481.9,481.6,1657519,,,-0.33
826,TQBR,2023-07-25,ROSN,40751,1576970113.2,482.55,481.45,492.2,486.8,489.15,3238712,,,1.57
827,TQBR,2023-07-26,ROSN,34639,1005481427.4,488.95,486.15,491.3,488.75,486.9,2057160,,,-0.46
828,TQBR,2023-07-27,ROSN,42173,1150347839.2,487.5,487.5,494.95,491.2,493.75,2341860,,,1.41
829,TQBR,2023-07-28,ROSN,56754,1954826249.95,493.8,492.4,501.0,498.05,500.65,3925034,,,1.4
830,TQBR,2023-07-31,ROSN,59089,1959003446.6,502.65,502.1,510.0,506.35,508.75,3868807,,,1.62
831,TQBR,2023-08-01,ROSN,77706,2636234404.0,510.0,502.6,518.7,510.75,516.7,5161679,,,1.56
832,TQBR,2023-08-02,ROSN,70111,2367756087.4,517.5,512.05,523.8,519.25,522.95,4559768,,,1.21
833,TQBR,2023-08-03,ROSN,50722,1659813751.45,522.75,518.6,528.95,524.2,526.7,3166505,,,0.72
834,TQBR,2023-08-04,ROSN,89180,3456814826.4,527.6,511.5,539.15,528.05,521.95,6546405,,,-0.9
835,TQBR,2023-08-07,ROSN,92012,3436408140.0,526.0,518.2,540.8,532.8,524.6,6451666,,,0.51
836,TQBR,2023-08-08,ROSN,46542,1492861162.8,523.8,517.55,528.4,521.15,527.9,2864033,,,0.63
837,TQBR,2023-08-09,ROSN,40288,1447980636.35,529.0,525.3,533.95,530.5,533.2,2729513,,,1.0
838,TQBR,2023-08-10,ROSN,38809,1146692413.4,534.4,532.5,537.9,535.25,535.2,2142296,,,0.38
839,TQBR,2023-08-11,ROSN,81979,3181969176.65,536.15,530.15,549.6,541.0,549.0,5881485,,,2.58
840,TQBR,2023-08-14,ROSN,131713,5740528756.45,551.0,536.6,565.0,553.9,539.75,10364274,,,-1.68
841,TQBR,2023-08-15,ROSN,100891,4687022368.4,537.05,531.0,560.85,550.35,546.3,8516492,,,1.21
842,TQBR,2023-08-16,ROSN,88223,3340090043.4,546.3,523.7,550.8,535.35,532.95,6239315,,,-2.44
843,TQBR,2023-08-17,ROSN,54190,2490103233.85,539.0,532.0,544.9,538.9,544.45,4620505,,,2.16
844,TQBR,2023-08-18,ROSN,40226,1406003452.55,544.0,540.15,548.65,544.25,548.2,2583363,,,0.69
845,TQBR,2023-08-21,ROSN,43437,1212256069.35,549.0,545.05,553.0,548.45,547.45,2210109,,,-0.14
846,TQBR,2023-08-22,ROSN,38125,1399359506.1,548.0,542.3,550.45,546.5,549.5,2560556,,,0.37
847,TQBR,2023-08-23,ROSN,68181,2451466666.7,549.55,529.55,551.0,540.5,534.5,4535376,,,-2.73
848,TQBR,2023-08-24,ROSN,32019,1052018135.05,537.0,533.35,541.5,537.1,539.8,1958712,,,0.99
849,TQBR,2023-08-25,ROSN,28167,832913234.2,541.0,536.2,541.5,538.5,538.85,1546465,,,-0.18
850,TQBR,2023-08-28,ROSN,43264,1479843016.25,540.05,537.5,546.0,541.25,545.55,2733712,,,1.24
851,TQBR,2023-08-29,ROSN,65842,2399174029.15,545.35,539.05,559.3,544.95,558.3,4401756,,,2.34
852,TQBR,2023-08-30,ROSN,72654,3430907750.75,562.0,550.65,564.4,556.25,556.9,6167526,,,-0.25
853,TQBR,2023-08-31,ROSN,37766,1435196378.95,557.1,553.55,558.45,556.5,556.15,2579148,,,-0.13
854,TQBR,2023-09-01,ROSN,38192,1477912773.5,556.5,553.05,559.65,556.95,559.15,2653686,,,0.54
855,TQBR,2023-09-04,ROSN,59972,2372704940.05,559.95,559.9,568.8,565.65,567.25,4194716,,,1.45
856,TQBR,2023-09-05,ROSN,77071,3660490300.85,568.0,565.05,575.75,571.35,574.4,6406793,,,1.26
857,TQBR,2023-09-06,ROSN,51439,2765034702.65,574.5,570.15,582.25,577.95,578.8,4784201,,,0.77
858,TQBR,2023-09-07,ROSN,82830,4013184354.4,578.8,555.25,584.0,571.9,564.6,7017316,,,-2.45
859,TQBR,2023-09-08,ROSN,50484,1820941441.7,564.5,552.6,567.45,558.3,557.95,3261457,,,-1.18
860,TQBR,2023-09-11,ROSN,63329,2307775208.8,557.5,542.05,558.25,551.15,549.1,4187326,,,-1.59
861,TQBR,2023-09-12,ROSN,40850,1704021502.7,551.9,551.7,562.8,556.35,562.0,3062266,,,2.35
862,TQBR,2023-09-13,ROSN,33983,1009189058.85,563.4,553.0,563.45,558.15,555.15,1808550,,,-1.22
863,TQBR,2023-09-14,ROSN,43201,1842276190.95,555.15,541.2,559.0,551.2,556.3,3342450,,,0.21
864,TQBR,2023-09-15,ROSN,52367,1805465925.25,556.55,551.7,563.0,558.15,562.8,3234739,,,1.17
865,TQBR,2023-09-18,ROSN,47385,1609645125.75,565.0,556.1,570.9,564.55,557.1,2851153,,,-1.01
866,TQBR,2023-09-19,ROSN,67892,2027324032.75,558.6,542.95,559.95,550.05,544.0,3686091,,,-2.35
867,TQBR,2023-09-20,ROSN,87263,5291148457.85,544.0,527.35,549.7,538.6,529.35,9824200,,,-2.69
